Feeder,Bus,NaN_P,NaN_Q,Pontos,Esperado,Tamanho OK
FeederA,Bus 1003,0,0,8760,8760,OK
FeederA,Bus 1004,0,0,8760,8760,OK
FeederA,Bus 1005,0,0,8760,8760,OK
FeederA,Bus 1006,0,0,8760,8760,OK
FeederA,Bus 1007,0,0,8760,8760,OK
FeederA,Bus 1008,0,0,8760,8760,OK
FeederA,Bus 1009,0,0,8760,8760,OK
FeederA,Bus 1010,0,0,8760,8760,OK
FeederA,Bus 1011,0,0,8760,8760,OK
FeederA,Bus 1012,0,0,8760,8760,OK
FeederA,Bus 1013,0,0,8760,8760,OK
FeederA,Bus 1014,0,0,8760,8760,OK
FeederA,Bus 1015,0,0,8760,8760,OK
FeederA,Bus 1016,0,0,8760,8760,OK
FeederA,Bus 1017,0,0,8760,8760,OK
FeederB,Bus 2002,0,0,8760,8760,OK
FeederB,Bus 2003,0,0,8760,8760,OK
FeederB,Bus 2005,0,0,8760,8760,OK
FeederB,Bus 2008,0,0,8760,8760,OK
FeederB,Bus 2009,0,0,8760,8760,OK
FeederB,Bus 2010,0,0,8760,8760,OK
FeederB,Bus 2011,0,0,8760,8760,OK
FeederB,Bus 2014,0,0,8760,8760,OK
FeederB,Bus 2015,0,0,8760,8760,OK
FeederB,Bus 2016,0,0,8760,8760,OK
FeederB,Bus 2017,0,0,8760,8760,OK
FeederB,Bus 2018,0,0,8760,8760,OK
FeederB,Bus 2020,0,0,8760,8760,OK
FeederB,Bus 2022,0,0,8760,8760,OK
FeederB,Bus 2023,0,0,8760,8760,OK
FeederB,Bus 2024,0,0,8760,8760,OK
FeederB,Bus 2025,0,0,8760,8760,OK
FeederB,Bus 2028,0,0,8760,8760,OK
FeederB,Bus 2029,0,0,8760,8760,OK
FeederB,Bus 2030,0,0,8760,8760,OK
FeederB,Bus 2031,0,0,8760,8760,OK
FeederB,Bus 2032,0,0,8760,8760,OK
FeederB,Bus 2034,0,0,8760,8760,OK
FeederB,Bus 2035,0,0,8760,8760,OK
FeederB,Bus 2037,0,0,8760,8760,OK
FeederB,Bus 2040,0,0,8760,8760,OK
