bus,base_kw
T_bus1003_L.1.2.3.0,15.290000000000001
T_bus1004_L.1.2.3.0,6.892
T_bus1005_L.1.2.3.0,4.916
T_bus1006_L.1.2,5.04
T_bus1007_L.1.2,4.163
T_bus1008_L.1.2.3.0,14.096
T_bus1009_L.1.2.3.0,17.081
T_bus1010_L.1.2.3.0,7.136
T_bus1011_L.1.2,3.125
T_bus1012_L.1.2,3.083
T_bus1013_L.1.2.3.0,1.537
T_bus1014_L.1.2,0.458
T_bus1015_L.1.2,0.793
T_bus1016_L.1.2,3.083
T_bus1017_L.1.2,2.131
T_bus2002_L.1.2.3.0,27.94
T_bus2003_L.1.2.3.0,14.286000000000001
T_bus2005_L.1.2.3.0,8.947
T_bus2008_L.1.2,2.067
T_bus2009_L.1.2,1.246
T_bus2010_L.1.2.3.0,2.29
T_bus2011_L.1.2.3.0,5.367999999999999
T_bus2014_L.1.2,2.816
T_bus2015_L.1.2,1.49
T_bus2016_L.1.2,1.64
T_bus2017_L.1.2,5.125
T_bus2018_L.1.2,2.809
T_bus2020_L.1.2,3.086
T_bus2022_L.1.2,2.728
T_bus2023_L.1.2,0.728
T_bus2024_L.1.2,2.549
T_bus2025_L.1.2,2.701
T_bus2028_L.1.2,0.0
T_bus2029_L.1.2.3.0,9.427
T_bus2030_L.1.2.3.0,5.331
T_bus2031_L.1.2,3.279
T_bus2032_L.1.2.3.0,2.217
T_bus2034_L.1.2.3.0,3.621
T_bus2035_L.1.2.3.0,3.931
T_bus2037_L.1.2.3.0,3.941
T_bus2040_L.1.2.3.0,81.75999999999999
T_bus2041_L.1.2.3.0,1.919
T_bus2042_L.1.2.3.0,4.223
T_bus2043_L.1.2.3.0,6.509
T_bus2045_L.1.2,2.175
T_bus2046_L.1.2,6.621
T_bus2047_L.1.2,5.512000000000001
T_bus2048_L.1.2,3.764
T_bus2049_L.1.2,3.538
T_bus2050_L.1.2,3.747
T_bus2051_L.1.2,5.778000000000001
T_bus2052_L.1.2.3.0,40.029
T_bus2053_L.1.2.3.0,4.28
T_bus2054_L.1.2,7.159
T_bus2055_L.1.2,4.26
T_bus2056_L.1.2,4.723000000000001
T_bus2058_L.1.2.3.0,31.480000000000004
T_bus2059_L.1.2,2.635
T_bus2060_L.1.2,1.946
T_bus3002_L.1.2.3.0,19.645
T_bus3004_L.1.2.3.0,3.117
T_bus3006_L.1.2.3.0,4.033
T_bus3007_L.1.2.3.0,9.425
T_bus3009_L.1.2,4.064
T_bus3010_L.1.2,4.935
T_bus3011_L.1.2,7.419
T_bus3012_L.1.2,3.763
T_bus3013_L.1.2,2.539
T_bus3014_L.1.2,3.105
T_bus3016_L.1.2,6.246
T_bus3017_L.1.2,8.493
T_bus3018_L.1.2,5.351
T_bus3019_L.1.2,5.403
T_bus3020_L.1.2,5.984
T_bus3021_L.1.2,7.73
T_bus3023_L.1.2,4.344
T_bus3024_L.1.2,5.02
T_bus3025_L.1.2,6.546
T_bus3026_L.1.2,10.273
T_bus3027_L.1.2,7.116
T_bus3028_L.1.2,11.008
T_bus3029_L.1.2,2.494
T_bus3031_L.1.2.3.0,4.271
T_bus3032_L.1.2.3.0,5.709
T_bus3033_L.1.2.3.0,9.779
T_bus3034_L.1.2.3.0,4.776
T_bus3035_L.1.2.3.0,10.893
T_bus3036_L.1.2.3.0,4.026
T_bus3037_L.1.2.3.0,7.303
T_bus3038_L.1.2.3.0,6.13
T_bus3039_L.1.2.3.0,4.966
T_bus3041_L.1.2,5.252
T_bus3042_L.1.2,7.719
T_bus3043_L.1.2,6.856
T_bus3044_L.1.2,4.119
T_bus3045_L.1.2,4.434
T_bus3047_L.1.2.3.0,10.213
T_bus3048_L.1.2.3.0,2.868
T_bus3049_L.1.2.3.0,1.671
T_bus3050_L.1.2.3.0,2.646
T_bus3051_L.1.2.3.0,2.412
T_bus3052_L.1.2.3.0,6.101
T_bus3054_L.1.2.3.0,2.471
T_bus3056_L.1.2,3.796
T_bus3057_L.1.2,3.679
T_bus3058_L.1.2,3.475
T_bus3059_L.1.2,4.366
T_bus3060_L.1.2,3.63
T_bus3061_L.1.2,1.283
T_bus3062_L.1.2,0.929
T_bus3063_L.1.2,6.523
T_bus3064_L.1.2,7.792
T_bus3065_L.1.2,2.813
T_bus3066_L.1.2,3.257
T_bus3067_L.1.2,6.204
T_bus3070_L.1.2.3.0,0.845
T_bus3071_L.1.2.3.0,2.163
T_bus3072_L.1.2.3.0,1.964
T_bus3073_L.1.2.3.0,2.297
T_bus3074_L.1.2.3.0,4.791
T_bus3077_L.1.2.3.0,41.037
T_bus3078_L.1.2.3.0,4.012
T_bus3081_L.1.2.3.0,1.581
T_bus3083_L.1.2,3.831
T_bus3084_L.1.2,2.25
T_bus3085_L.1.2,6.765
T_bus3086_L.1.2,2.35
T_bus3087_L.1.2,4.101
T_bus3088_L.1.2,8.41
T_bus3089_L.1.2,0.836
T_bus3090_L.1.2,3.236
T_bus3091_L.1.2,2.536
T_bus3093_L.1.2,4.264
T_bus3094_L.1.2,3.12
T_bus3095_L.1.2,5.901
T_bus3096_L.1.2,2.842
T_bus3097_L.1.2,11.1
T_bus3098_L.1.2,6.461
T_bus3099_L.1.2,4.424
T_bus3101_L.1.2,2.387
T_bus3102_L.1.2,8.2
T_bus3103_L.1.2,6.718
T_bus3104_L.1.2,8.73
T_bus3105_L.1.2,3.052
T_bus3106_L.1.2,9.815
T_bus3108_L.1.2,2.175
T_bus3109_L.1.2,13.807
T_bus3110_L.1.2,9.577
T_bus3111_L.1.2,9.729
T_bus3112_L.1.2,9.339
T_bus3114_L.1.2,5.162
T_bus3115_L.1.2,7.794
T_bus3116_L.1.2,7.337
T_bus3117_L.1.2,3.688
T_bus3120_L.1.2,3.209
T_bus3121_L.1.2,2.845
T_bus3122_L.1.2,4.209
T_bus3123_L.1.2,5.077
T_bus3124_L.1.2,3.261
T_bus3125_L.1.2,0.76
T_bus3126_L.1.2,6.249
T_bus3127_L.1.2,6.152
T_bus3128_L.1.2,3.688
T_bus3129_L.1.2,1.967
T_bus3130_L.1.2,3.657
T_bus3131_L.1.2,3.556
T_bus3132_L.1.2,11.56
T_bus3134_L.1.2,5.953
T_bus3135_L.1.2,7.005
T_bus3136_L.1.2,9.443
T_bus3137_L.1.2,13.759
T_bus3138_L.1.2,8.522
T_bus3139_L.1.2,0.0
T_bus3141_L.1.2,4.915
T_bus3142_L.1.2,4.017
T_bus3143_L.1.2,7.716
T_bus3144_L.1.2,0.482
T_bus3145_L.1.2,1.782
T_bus3146_L.1.2,1.616
T_bus3147_L.1.2,8.324
T_bus3148_L.1.2,9.987
T_bus3149_L.1.2,2.029
T_bus3150_L.1.2,2.602
T_bus3151_L.1.2,1.686
T_bus3152_L.1.2,1.934
T_bus3153_L.1.2,5.976
T_bus3154_L.1.2,4.836
T_bus3155_L.1.2,1.477
T_bus3157_L.1.2,9.74
T_bus3158_L.1.2,6.517
T_bus3159_L.1.2,9.776
T_bus3160_L.1.2,4.252
T_bus3161_L.1.2,2.744
T_bus3162_L.1.2,3.75
