Bus,P_base,Q_base
Bus 1003,70.3792,33.250552921117
Bus 1004,41.534,18.0385767946858
Bus 1005,53.923,24.7905112582303
Bus 1006,37.88,17.3677906794854
Bus 1007,14.5,6.60639517370559
Bus 1008,37.4608,14.715312416642
Bus 1009,51.674,22.8658152136047
Bus 1010,22.55,8.38937010839667
Bus 1011,16.471,6.43417328572899
Bus 1012,18.268,8.84759621117789
Bus 1013,19.602,8.35041703270189
Bus 1014,5.429,2.07822615185923
Bus 1015,7.51,3.60723103683233
Bus 1016,18.268,7.81405283945391
Bus 1017,17.185,7.25837803533129
