Bus,P_base,Q_base
Bus 2002,242.82,112.139940154156
Bus 2003,35.744,16.6219346380351
Bus 2005,17.163,7.51232016813993
Bus 2008,15.304,6.37208131696535
Bus 2009,8.435,3.45902847275194
Bus 2010,14.731,6.27537972190243
Bus 2011,24.2467,11.4394459552177
Bus 2014,17.341,7.90079301429163
Bus 2015,9.191,3.79514801350941
Bus 2016,12.655,5.39100742520367
Bus 2017,15.393,6.64877385521404
Bus 2018,14.117,6.83717515399596
Bus 2020,12.706,5.90049620323956
Bus 2022,13.909,5.58855470349467
Bus 2023,3.743,1.59451132299781
Bus 2024,15.011,6.04917991181304
Bus 2025,13.932,5.56714087086266
Bus 2028,8.845,3.78691453772717
Bus 2029,41.7205,17.5014635804206
Bus 2030,55.4877,19.0020366811933
Bus 2031,16.046,6.87737388869751
Bus 2032,7.788,3.24396783701957
Bus 2034,25.1995,10.6505092010861
Bus 2035,33.627,14.3250420140122
Bus 2037,17.555,7.59462076899989
Bus 2040,204.2794,98.9370289830136
Bus 2041,19.9793875,7.8484397088974
Bus 2042,39.779,17.2805073205728
Bus 2043,52.8402,23.6063437119018
Bus 2045,7.214,3.23817759294588
Bus 2046,27.42,13.2801121146539
Bus 2047,28.675,11.7530445181002
Bus 2048,26.65,11.3994893815685
Bus 2049,18.797,8.56416621242372
Bus 2050,17.2915,7.01492136647146
Bus 2051,23.115,9.84694876598837
Bus 2052,188.283,83.0665348468728
Bus 2053,136.24,65.984043563109
Bus 2054,21.4365,8.35179567245538
Bus 2055,32.329,14.7295275566019
Bus 2056,14.721,6.57131293726591
Bus 2058,183.56,83.6324067645102
Bus 2059,9.429,4.25767562362956
Bus 2060,10.055,3.90460480920277
