Bus,P_base,Q_base
Bus 3002,36.2041,14.3087758940408
Bus 3004,13.144,5.79055508544136
Bus 3006,28.502,13.5121024028712
Bus 3007,43.5,21.0680115604466
Bus 3009,26.993,12.2983741326783
Bus 3010,21.071,9.27718991816906
Bus 3011,27.459,11.9143237790112
Bus 3012,30.0408,14.549423487013
Bus 3013,16.7015625,6.71182412840872
Bus 3014,24.1492,10.3150921888366
Bus 3016,25.038,10.6221722123981
Bus 3017,40.198,19.468779970272
Bus 3018,28.056,12.7826912409299
Bus 3019,26.066,11.2106037606818
Bus 3020,37.355,17.3068629586968
Bus 3021,24.82,11.4425940488991
Bus 3023,32.996,15.1452365403845
Bus 3024,31.125,13.8540338088868
Bus 3025,31.599,13.8458003331045
Bus 3026,27.653,12.1375425812081
Bus 3027,33.8338,14.2183292541952
Bus 3028,41.8729,15.4420093367213
Bus 3029,19.598,8.34871303983734
Bus 3031,26.517,12.8427692539853
Bus 3032,27.876,12.7459048330178
Bus 3033,32.3867,14.533004967659
Bus 3034,28.48,12.9207451128642
Bus 3035,37.647,17.1333787807439
Bus 3036,22.728,8.56572074616226
Bus 3037,25.7421,11.5185357549377
Bus 3038,24.682,9.77026908708386
Bus 3039,26.151,12.6655073636147
Bus 3041,31.8519,13.3692298164674
Bus 3042,22.882,10.4253471975677
Bus 3043,19.321,9.24086576030623
Bus 3044,25.931,11.4721376972942
Bus 3045,24.0214,11.3336215753106
Bus 3047,35.28475,15.031240556812
Bus 3048,11.573,4.50692834884798
Bus 3049,20.861,8.67971365377517
Bus 3050,16.9,8.03732532978416
Bus 3051,11.2516,4.6945341621933
Bus 3052,24.469,11.3147330132219
Bus 3054,9.13,3.53022382216311
Bus 3056,19.849,7.90462107305859
Bus 3057,17.411,7.76729827043675
Bus 3058,16.202,7.37670997878533
Bus 3059,21.3385787330627,9.79481387968617
Bus 3060,19.6932,9.18410320961923
Bus 3061,11.18,4.81720111528201
Bus 3062,16.9375,8.10004504236066
Bus 3063,21.6544,8.16722051830167
Bus 3064,29.585,11.6927401820567
Bus 3065,23.3732,10.6202151148844
Bus 3066,12.242,5.2369143793486
Bus 3067,30.161,13.3193422051458
Bus 3070,14.69,5.59924785403041
Bus 3071,19.767,7.126799772689
Bus 3072,18.702,7.70442361292148
Bus 3073,17.859,7.70579045330225
Bus 3074,18.954,9.17984117509666
Bus 3077,274.291075,132.845230782237
Bus 3078,12.4,5.83559704119129
Bus 3081,28.01141875,12.5969831945298
Bus 3083,19.378,8.8288776328322
Bus 3084,19.433,9.41183146331399
Bus 3085,28.191,11.5045872783183
Bus 3086,12.886,5.77650974440107
Bus 3087,25.893,11.5859533919311
Bus 3088,24.45,10.1091514561503
Bus 3089,20.967,8.9319045977278
Bus 3090,22.463,8.65893381215688
Bus 3091,13.577,5.16620102583777
Bus 3093,21.003,9.41764332857204
Bus 3094,17.986,8.71101737761362
Bus 3095,26.144,11.0449656008272
Bus 3096,25.015,12.0586517662529
Bus 3097,27.40015,11.5647457593889
Bus 3098,39.2613,15.7811514640366
Bus 3099,21.38,9.19872973718533
Bus 3101,18.535,8.44479548583676
Bus 3102,21.503,9.70046618230108
Bus 3103,30.1,13.076696830622
Bus 3104,69.171,31.0140638530561
Bus 3105,17.564,7.64841467959937
Bus 3106,64.127,27.3179876061664
Bus 3108,14.475,7.00281331385051
Bus 3109,27.203,12.0489653241561
Bus 3110,36.456,14.6057017155951
Bus 3111,38.916,18.8478790318699
Bus 3112,36.444,15.4140353085695
Bus 3114,26.209,9.88827059295358
Bus 3115,33.084,13.8152880404997
Bus 3116,22.94,10.9214634640936
Bus 3117,15.638,6.20707209560192
Bus 3120,20.827,8.70271755744653
Bus 3121,20.303,8.6976609562786
Bus 3122,17.8636,8.07574858302976
Bus 3123,24.506,10.5872812117555
Bus 3124,16.423,6.46618442169017
Bus 3125,4.301,1.84962611837576
Bus 3126,23.1756,9.50695232470414
Bus 3127,30.508,13.094786461205
Bus 3128,12.191,5.5543836939755
Bus 3129,17.736,7.55550436139173
Bus 3130,15.409,5.59272019108841
Bus 3131,27.3456451416016,12.4590440058857
Bus 3132,32.6012,12.0790090192556
Bus 3134,38.3077,17.8749727876716
Bus 3135,24.3377,10.7346119960471
Bus 3136,42.1434,15.3201312470847
Bus 3137,44.569,18.3611837487183
Bus 3138,39.737,15.5118158678607
Bus 3141,22.791,11.0381850913595
Bus 3142,20.495,7.49757510196546
Bus 3143,29.949,14.5049627177888
Bus 3144,6.32,2.4470998950326
Bus 3145,19.689,9.49997808639448
Bus 3146,16.403,5.72562876516664
Bus 3147,24.307,11.0745963784318
Bus 3148,32.137,14.8028208122641
Bus 3149,18.657,9.03599750995982
Bus 3150,11.476,4.53560541927606
Bus 3151,10.697,4.75569329814751
Bus 3152,12.1295,4.76330790108028
Bus 3153,28.97786015625,13.1435332810896
Bus 3154,15.377,6.6766708084527
Bus 3155,15.695,7.6014354354301
Bus 3157,31.223,14.806211066998
Bus 3158,33.402,14.2291924153815
Bus 3159,30.795,13.2476625336298
Bus 3160,16.197,6.57951579422223
Bus 3161,13.444334375,6.12541970542649
Bus 3162,13.828,6.30022292841385
