bus,Pbase_kW,Qbase_kvar
Bus1003,70.3792,40.92930692002301
Bus1004,41.534,25.160124295294178
Bus1005,53.923,31.317719625404155
Bus1006,37.88,21.641583515749783
Bus1007,14.5,8.878991992365076
Bus1008,37.4608,21.885709269957754
Bus1009,51.674,29.368817588732608
Bus1010,22.55,12.436130983447766
Bus1011,16.471,9.019449782392643
Bus1012,18.268,10.655635617103131
Bus1013,19.602,10.826221199282484
Bus1014,5.429,3.001986781973221
Bus1015,7.51,4.604182837784968
Bus1016,18.268,10.155399596223058
Bus1017,17.185,9.38670884763937
