bus,Pbase_kW,Qbase_kvar
Bus2002,242.82,129.67814862395832
Bus2003,35.744,20.39893483373589
Bus2005,17.163,9.876564025037952
Bus2008,15.304,7.549931461890383
Bus2009,8.435,4.271655596757321
Bus2010,14.731,8.479907844197701
Bus2011,24.2467,12.908728712230312
Bus2014,17.341,8.272049740441352
Bus2015,9.191,5.10740209134709
Bus2016,12.655,7.329978653265445
Bus2017,15.393,8.757363342929155
Bus2018,14.117,7.502774133273768
Bus2020,12.706,7.620988154755819
Bus2022,13.909,7.909844277469062
Bus2023,3.743,2.0572840711705327
Bus2024,15.011,7.949542535465812
Bus2025,13.932,7.633487438444773
Bus2028,8.845,4.664321996892318
Bus2029,41.7205,24.68176376378119
Bus2030,55.4877,25.809576100016027
Bus2031,16.046,8.083807285140223
Bus2032,7.788,4.601304507476062
Bus2034,25.1995,13.996458633605997
Bus2035,33.627,16.2255905746101
Bus2037,17.555,10.140324436365498
Bus2040,204.2794,101.82835947587402
Bus2041,19.9793875,11.402022233288838
Bus2042,39.779,23.470124449737977
Bus2043,52.8402,27.790725673116306
Bus2045,7.214,4.370840681725659
Bus2046,27.42,15.251641985573999
Bus2047,28.675,15.56843000796844
Bus2048,26.65,16.05020590908291
Bus2049,18.797,10.741983821754271
Bus2050,17.2915,8.512057602308474
Bus2051,23.115,12.185266142351475
Bus2052,188.283,105.98003306250737
Bus2053,136.24,75.14085636769488
Bus2054,21.4365,10.07791494953675
Bus2055,32.329,17.51202614729728
Bus2056,14.721,8.253141684444179
Bus2058,183.56,110.45662603220335
Bus2059,9.429,5.479364354118473
Bus2060,10.055,5.574342018150129
