bus,Pbase_kW
Bus3002,36.2041
Bus3004,13.144
Bus3006,28.502
Bus3007,43.5
Bus3009,26.993
Bus3010,21.071
Bus3011,27.459
Bus3012,30.0408
Bus3013,16.7015625
Bus3014,24.1492
Bus3016,25.038
Bus3017,40.198
Bus3018,28.056
Bus3019,26.066
Bus3020,37.355
Bus3021,24.82
Bus3023,32.996
Bus3024,31.125
Bus3025,31.599
Bus3026,27.653
Bus3027,33.8338
Bus3028,41.8729
Bus3029,19.598
Bus3031,26.517
Bus3032,27.876
Bus3033,32.3867
Bus3034,28.48
Bus3035,37.647
Bus3036,22.728
Bus3037,25.7421
Bus3038,24.682
Bus3039,26.151
Bus3041,31.8519
Bus3042,22.882
Bus3043,19.321
Bus3044,25.931
Bus3045,24.0214
Bus3047,35.28475
Bus3048,11.573
Bus3049,20.861
Bus3050,16.9
Bus3051,11.2516
Bus3052,24.469
Bus3054,9.13
Bus3056,19.849
Bus3057,17.411
Bus3058,16.202
Bus3059,21.3385787330627
Bus3060,19.6932
Bus3061,11.18
Bus3062,16.9375
Bus3063,21.6544
Bus3064,29.585
Bus3065,23.3732
Bus3066,12.242
Bus3067,30.161
Bus3070,14.69
Bus3071,19.767
Bus3072,18.702
Bus3073,17.859
Bus3074,18.954
Bus3077,274.291075
Bus3078,12.4
Bus3081,28.01141875
Bus3083,19.378
Bus3084,19.433
Bus3085,28.191
Bus3086,12.886
Bus3087,25.893
Bus3088,24.45
Bus3089,20.967
Bus3090,22.463
Bus3091,13.577
Bus3093,21.003
Bus3094,17.986
Bus3095,26.144
Bus3096,25.015
Bus3097,27.40015
Bus3098,39.2613
Bus3099,21.38
Bus3101,18.535
Bus3102,21.503
Bus3103,30.1
Bus3104,69.171
Bus3105,17.564
Bus3106,64.127
Bus3108,14.475
Bus3109,27.203
Bus3110,36.456
Bus3111,38.916
Bus3112,36.444
Bus3114,26.209
Bus3115,33.084
Bus3116,22.94
Bus3117,15.638
Bus3120,20.827
Bus3121,20.303
Bus3122,17.8636
Bus3123,24.506
Bus3124,16.423
Bus3125,4.301
Bus3126,23.1756
Bus3127,30.508
Bus3128,12.191
Bus3129,17.736
Bus3130,15.409
Bus3131,27.3456451416016
Bus3132,32.6012
Bus3134,38.3077
Bus3135,24.3377
Bus3136,42.1434
Bus3137,44.569
Bus3138,39.737
Bus3141,22.791
Bus3142,20.495
Bus3143,29.949
Bus3144,6.32
Bus3145,19.689
Bus3146,16.403
Bus3147,24.307
Bus3148,32.137
Bus3149,18.657
Bus3150,11.476
Bus3151,10.697
Bus3152,12.1295
Bus3153,28.97786015625
Bus3154,15.377
Bus3155,15.695
Bus3157,31.223
Bus3158,33.402
Bus3159,30.795
Bus3160,16.197
Bus3161,13.444334375
Bus3162,13.828
